,Unnamed: 0,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
8464,850,0.0684850000000025,0.1476280000000009,0.1932149999999994,0.0934939999999997,0.1824413000000007,0.1164379000000002,0.1696859999999986,0.2054469999999995,0.711037000000001,0.5063499999999976,0.2050899999999984,0.3193920000000005,0.2530680000000025,0.6628414999999999,0.3613770000000045,0.4702589999999986,0.1163799999999994,0.2615399999999965
8474,851,0.1231590000000011,0.3035560000000004,0.3197098,0.1640509999999988,0.3281993000000014,0.1847705999999997,0.2994649999999978,0.3140830000000036,1.042352000000001,0.7322399999999902,0.3411499999999989,0.5540090000000006,0.5798939999999995,1.2456139999999998,0.6975010000000026,0.8135949999999994,0.1890900000000002,0.3227520000000012
8484,852,0.0438100000000005,0.1348789999999997,0.1669378999999997,0.0831309999999998,0.1648443000000004,0.1047166000000001,0.153105,0.1582909999999984,0.5947539999999982,0.4098099999999931,0.1604800000000068,0.2917039999999993,0.2134210000000003,0.5983235000000002,0.352318000000011,0.4167720000000017,0.1039910000000006,0.2218790000000012
8494,853,0.0989579999999996,0.2483440000000012,0.2764875999999994,0.1383109999999998,0.2780463000000015,0.1596001,0.2476750000000009,0.2671980000000005,0.9280389999999984,0.617369999999994,0.2334199999999953,0.4269289999999976,0.3313279999999992,0.9377376000000002,0.5009939999999915,0.6666660000000029,0.1604990000000015,0.3184010000000015
8504,854,0.074942,0.1711039999999997,0.2118459999999995,0.1066699999999993,0.2122133000000001,0.1302025000000002,0.1966919999999987,0.2221990000000033,0.7670199999999987,0.5203199999999981,0.210329999999999,0.3604020000000005,0.300415000000001,0.7999839999999994,0.3863830000000092,0.5292069999999995,0.1344339999999988,0.2691219999999958
8514,855,0.1354630000000014,0.3348760000000013,0.3523073999999999,0.1816809999999993,0.3668542999999999,0.2037770999999999,0.3387039999999999,0.3950239999999994,1.2168390000000002,0.8222399999999936,0.3634899999999987,0.6001200000000004,0.6578480000000013,1.3581992000000005,0.7360759999999971,0.8617650000000019,0.213281000000002,0.3826800000000006
8524,856,0.1251480000000029,0.3017390000000013,0.3271107999999998,0.1673569999999991,0.3358283000000011,0.1886798,0.3035639999999979,0.3426370000000034,1.110907000000001,0.7485700000000008,0.3176600000000036,0.5130669999999995,0.5070680000000003,1.2316931000000002,0.6514910000000071,0.8081439999999986,0.1874030000000033,0.3551819999999992
8534,857,0.1144220000000011,0.2638650000000009,0.3004006999999999,0.151154,0.3076933000000004,0.1730143000000001,0.2841199999999979,0.2942910000000012,1.014244999999999,0.6761899999999912,0.2945700000000073,0.4577010000000001,0.4028600000000004,1.0712442000000006,0.5819080000000127,0.7172669999999997,0.1714270000000013,0.3379380000000012
8544,858,0.0924230000000001,0.220955,0.2528689000000002,0.1281809999999996,0.2560043000000007,0.1510796000000001,0.2292859999999983,0.256376000000003,0.8740269999999981,0.5878299999999967,0.2385000000000019,0.4039889999999992,0.3299489999999991,0.9284538000000008,0.4754879999999986,0.6305639999999997,0.1515380000000021,0.2971569999999985
8554,859,0.0840750000000021,0.2051680000000004,0.2352514999999995,0.1177189999999992,0.2371323000000007,0.1406570999999998,0.2215610000000012,0.2358870000000053,0.8256109999999985,0.5578099999999893,0.2233300000000042,0.3913869999999981,0.2794949999999971,0.8271679000000001,0.4490909999999957,0.5774839999999983,0.1412400000000033,0.2911919999999952
