OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y,Strike,Lat,Long
145,0.00898169,129.2909143,-8.171521103,129.2998325,-8.170454658,83.1808727,-8.17098788,129.2953734
146,0.00898169,129.2998325,-8.170454658,129.3087505,-8.169386969,83.17288029,-8.169920813,129.3042915
147,0.00898169,129.3087505,-8.169386969,129.3176683,-8.168318035,83.16488154,-8.168852502,129.3132094
148,0.00898169,129.3176683,-8.168318035,129.326586,-8.167247855,83.1568757,-8.167782945,129.3221272
149,0.00898169,129.326586,-8.167247855,129.3355036,-8.166176432,83.14888962,-8.166712143,129.3310448
150,0.00898169,129.3355036,-8.166176432,129.344421,-8.165103763,83.14088377,-8.165640097,129.3399623
151,0.008959064,129.344421,-8.165103763,129.353315,-8.164026006,83.09070196,-8.164564884,129.348868
152,0.008959064,129.353315,-8.164026006,129.3622073,-8.162933911,82.99832664,-8.163479958,129.3577611
153,0.008959065,129.3622073,-8.162933911,129.3710977,-8.161827481,82.90595244,-8.162380696,129.3666525
154,0.008959064,129.3710977,-8.161827481,129.3799864,-8.16070672,82.81358467,-8.1612671,129.3755421
155,0.008959064,129.3799864,-8.16070672,129.3888733,-8.159571629,82.72120563,-8.160139174,129.3844299
156,0.008959065,129.3888733,-8.159571629,129.3977583,-8.158422212,82.62883335,-8.15899692,129.3933158
157,0.008959065,129.3977583,-8.158422212,129.4066415,-8.157258472,82.5364604,-8.157840342,129.4021999
158,0.008959064,129.4066415,-8.157258472,129.4155228,-8.156080412,82.44408737,-8.156669442,129.4110821
159,0.008959064,129.4155228,-8.156080412,129.4244021,-8.154888035,82.35171401,-8.155484223,129.4199624
160,0.008959064,129.4244021,-8.154888035,129.4332795,-8.153681344,82.25934008,-8.154284689,129.4288408
161,0.008959064,129.4332795,-8.153681344,129.442155,-8.152460342,82.16696536,-8.153070843,129.4377173
162,0.008959064,129.442155,-8.152460342,129.4510285,-8.151225033,82.07459593,-8.151842687,129.4465918
163,0.008959065,129.4510285,-8.151225033,129.4599,-8.149975419,81.98221977,-8.150600226,129.4554643
164,0.008959064,129.4599,-8.149975419,129.4687695,-8.148711504,81.88984576,-8.149343461,129.4643347
165,0.008959065,129.4687695,-8.148711504,129.4776369,-8.147433291,81.79747268,-8.148072397,129.4732032
166,0.008959064,129.4776369,-8.147433291,129.4865022,-8.146140783,81.70509579,-8.146787037,129.4820695
167,0.008959065,129.4865022,-8.146140783,129.4953655,-8.144833985,81.61273117,-8.145487384,129.4909338
168,0.008959064,129.4953655,-8.144833985,129.5042266,-8.143512898,81.52034863,-8.144173441,129.499796
169,0.008959064,129.5042266,-8.143512898,129.5130856,-8.142177527,81.42797789,-8.142845212,129.5086561
170,0.008959064,129.5130856,-8.142177527,129.5219424,-8.140827876,81.33561053,-8.141502701,129.517514
171,0.008959065,129.5219424,-8.140827876,129.530797,-8.139463947,81.24323367,-8.140145911,129.5263697
172,0.008959064,129.530797,-8.139463947,129.5396494,-8.138085744,81.15085872,-8.138774845,129.5352232
173,0.008959064,129.5396494,-8.138085744,129.5484996,-8.13669327,81.05848009,-8.137389507,129.5440745
174,0.008959064,129.5484996,-8.13669327,129.5573476,-8.13528653,80.96611118,-8.1359899,129.5529236
175,0.008959065,129.5573476,-8.13528653,129.5661932,-8.133865528,80.87374445,-8.134576029,129.5617704
176,0.008959065,129.5661932,-8.133865528,129.5750366,-8.132430265,80.78135968,-8.133147896,129.5706149
177,0.008959064,129.5750366,-8.132430265,129.5838776,-8.130980748,80.68899553,-8.131705506,129.5794571
178,0.008959065,129.5838776,-8.130980748,129.5927163,-8.129516978,80.59661598,-8.130248863,129.5882969
179,0.008959064,129.5927163,-8.129516978,129.6015526,-8.128038961,80.5042471,-8.128777969,129.5971344
180,0.008959065,129.6015526,-8.128038961,129.6103865,-8.126546699,80.41186974,-8.12729283,129.6059695
181,0.008959064,129.6103865,-8.126546699,129.619218,-8.125040197,80.31949729,-8.125793448,129.6148022
182,0.008959065,129.619218,-8.125040197,129.628047,-8.123519459,80.22712639,-8.124279828,129.6236325
183,0.008959064,129.628047,-8.123519459,129.6368736,-8.121984488,80.13474834,-8.122751973,129.6324603
184,0.008959064,129.6368736,-8.121984488,129.6456977,-8.120435289,80.04237768,-8.121209888,129.6412857
185,0.008959065,129.6456977,-8.120435289,129.6545193,-8.118871865,79.95000161,-8.119653577,129.6501085
186,0.008959064,129.6545193,-8.118871865,129.6633384,-8.117294222,79.85763541,-8.118083043,129.6589289
187,0.008959064,129.6633384,-8.117294222,129.6721549,-8.115702362,79.76525703,-8.116498292,129.6677467
188,0.008959064,129.6721549,-8.115702362,129.6809688,-8.114096289,79.67287768,-8.114899325,129.6765619
189,0.008959065,129.6809688,-8.114096289,129.6897802,-8.112476009,79.58051086,-8.113286149,129.6853745
190,0.008959064,129.6897802,-8.112476009,129.6985889,-8.110841526,79.48814145,-8.111658767,129.6941845
191,0.008959064,129.6985889,-8.110841526,129.7073949,-8.109192842,79.39575777,-8.110017184,129.7029919
