output_time,total_wall_time,total_cpu_time, wall time ( 1), CPU time ( 1), cells updated ( 1),                                                                                                                                                                                                                                                                                                                                                                                                                                  
    0.240000E+04,     0.164217E+03,     0.420842E+03,     0.161650E+03,     0.161092E+03,     0.242323E+09
    0.246000E+04,     0.168556E+03,     0.425161E+03,     0.165928E+03,     0.165355E+03,     0.248371E+09
    0.252000E+04,     0.172907E+03,     0.429493E+03,     0.170215E+03,     0.169627E+03,     0.254419E+09
    0.258000E+04,     0.177252E+03,     0.433818E+03,     0.174501E+03,     0.173899E+03,     0.260467E+09
    0.264000E+04,     0.181604E+03,     0.438149E+03,     0.178793E+03,     0.178176E+03,     0.266515E+09
    0.270000E+04,     0.185960E+03,     0.442485E+03,     0.183089E+03,     0.182457E+03,     0.272563E+09
    0.276000E+04,     0.190327E+03,     0.446831E+03,     0.187395E+03,     0.186748E+03,     0.278611E+09
    0.282000E+04,     0.194692E+03,     0.451176E+03,     0.191699E+03,     0.191037E+03,     0.284659E+09
    0.288000E+04,     0.199058E+03,     0.455523E+03,     0.196007E+03,     0.195330E+03,     0.290707E+09
    0.294000E+04,     0.203423E+03,     0.459868E+03,     0.200313E+03,     0.199622E+03,     0.296755E+09
    0.300000E+04,     0.207805E+03,     0.464229E+03,     0.204633E+03,     0.203927E+03,     0.302803E+09
    0.306000E+04,     0.212195E+03,     0.468599E+03,     0.208963E+03,     0.208241E+03,     0.308851E+09
    0.312000E+04,     0.216573E+03,     0.472957E+03,     0.213276E+03,     0.212540E+03,     0.314899E+09
    0.318000E+04,     0.220960E+03,     0.477324E+03,     0.217600E+03,     0.216849E+03,     0.320947E+09
    0.324000E+04,     0.225352E+03,     0.481696E+03,     0.221928E+03,     0.221163E+03,     0.326995E+09
    0.330000E+04,     0.229744E+03,     0.486068E+03,     0.226259E+03,     0.225478E+03,     0.333043E+09
    0.336000E+04,     0.234135E+03,     0.490439E+03,     0.230589E+03,     0.229793E+03,     0.339091E+09
